year,day_month,Company,Size in Kbyte,Cost in USD,Speed in nanosec,Memory Type,Ref,Page,JDR Chip Prices - Size Kbit,JDR Chip Prices - USD,JDR Chip Prices - nanosec
1957,,C.C.C.,0.000976563,392,10000,Flip-Flop transistor,Phister 366,366,,,
1959,,E.E.Co.,0.000976563,64.8,10000,Flip-Flop - vacuum tube,Phister 366,366,,,
1960,,IBM,0.000976563,5,11500,Core memory for IBM 1401,Phister 367,367,,,
1965,,IBM,0.000976563,2.52,2000,Core Memory for IBM 360/30,Phister 367,367,,,
1970,,IBM,0.000976563,0.7,770,Core Memory for IBM 370/135,Phister 367,367,,,
1973,Jan,DEC,12,4680,,Core memory 8Kwords x 12 bit,PDP8/e User Price List,,,,
1974,,IBM,0.000976563,0.3,800,IC Memory for IBM 370/125,Phister 367,367,,,
1975,Jan,MITS,0.25,103,1000,Altair 8800 256 Byte Static Board,Radio-Electronics,,,,
1975,Feb,MITS,1,176,,Altair 1K Static Board,,,,,
1975,Apr,MITS,4,264,,Altair 4K DRAM Board,,,,,
1975,Oct,MITS,4,195,,Altair 4K Static (2102) RAM Board,,,,,
1976,Jan,MITS,4,159,,Altair 4K Static (2102) RAM Board,,,,,
1976,Mar,MITS,16,765,,Altair 16K Static RAM Board,,,,,
1976,Jun,SD Sales,4,90,,SD Sales 4K Static Board,,,,,
1976,Aug,,8,250,,8K Static RAM Board,,,,,
1977,Feb,TDL,16,575,,S-100 16K,,,,,
1978,Mar,,64,1750,,S-100 64K,,,,,
1978,Apr,,16,460,,,,,,,
1978,May,,16,300,,,,,,,
1978,Jul,Extensis,64,1500,,,,,,,
1978,Aug,,8,125,,,,,,,
1978,Oct,,32,475,,,,,,,
1979,Jan,,32,329,,,Interface Age,124,,,
1979,Oct,SD Sales - Jade,64,419,,"S-100, SD Sales/Jade 64K Kit",,,,,
1980,Jan,,64,405,,,Interface Age,121,,,
1981,Jan,,64,550,,,Interface Age,141,,,
1981,Aug,Jade,64,279.95,,,,,,,
1982,Jan,,256,880,,,Interface Age,135,,,
1982,Mar,,64,279,,,Microsystems,,,,
1982,Sep,California Digital,256,495,,,BYTE,,,,
1983,Jan,,256,599,,,Interface Age,153,,,
1983,Sep,California Digital,256,495,,,BYTE,,,,
1984,Jan,,384,517,,,BYTE,64,,,
1984,Aug,Advanced Computer Products,384,499,,"IBM PC Board, 384K, $199+6*50",BYTE,467,256,79,
1985,Jan,Do Kay,512,440,,IBM 512K $199.95+8*29.97,BYTE,470,,,
1985,May,Do Kay,512,360,,IBM 512K $199.95+8*19.98,BYTE,507,,8.95,
1985,Jun,Do Kay,512,275,,IBM 512K $149+8*15.75,BYTE,505,,5.95,200
1985,Jul,Fortron,512,210,,IBM 512K $119+7*13,BYTE,435,,5.95,200
1985,Aug,Jade,2048,699,,2MB J-RAM-2 A&T $699,BYTE,418,256,3.95,200
1985,Sep,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,444,256,2.95,200
1985,Nov,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,,256,2.95,200
1985,Dec,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,,256,2.95,200
1986,Jan,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,,256,2.95,150
1986,Feb,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,,256,2.95,150
1986,Mar,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,,256,2.95,150
1986,Apr,Jade,2048,599,,2MB J-RAM-2 A&T $599,BYTE,,256,2.95,150
1986,May,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1986,Jun,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1986,Jul,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1986,Aug,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1986,Sep,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1986,Oct,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1986,Dec,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,BYTE,,256,2.95,150
1987,Jan,JDR,3072,528.5,,JDR AT Multifuntion $139.95+49.95+3*36*2.95,BYTE,477,256,2.95,150
1987,Feb,JDR,3072,528.5,,JDR AT Multifuntion $139.95+49.95+3*36*2.95,BYTE,,256,2.95,150
1987,Mar,Pine,3072,471,,Pine 3MB Multifunction $147+108*3,BYTE,383,256,2.95,150
1987,Apr,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,BYTE,,256,2.95,150
1987,May,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,BYTE,,256,2.95,150
1987,Jun,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,BYTE,,256,2.95,150
1987,Jul,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,BYTE,,256,2.95,150
1987,Aug,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,BYTE,,256,2.95,150
1987,Sep,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,BYTE,,256,2.95,150
1987,Oct,Advanced Computer Products,3072,399,,AST Advantage AT w/3MB,BYTE,322,256,2.95,150
1987,Nov,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,BYTE,,256,2.95,150
1987,Dec,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,BYTE,,256,2.95,150
1988,Jan,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,BYTE,,256,2.95,150
1988,Feb,JDR,3072,546.82,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*3.49,BYTE,,256,3.49,150
1988,Mar,JDR,3072,596.5,,JDR MCT-ATMF 3MB Multifunc $169.90+426.60,BYTE,,256,3.95,150
